Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,datetime,date,hour,day_of_week,month,year,is_weekend,other_energy_wh
7/5/2010,13:55:00,1.462,0.892,237.7,7.6,0.0,0.0,0.0,2010-05-07 13:55:00,2010-05-07,13,4,5,2010,0,24.366666666666667
30/3/2008,23:21:00,0.264,0.0,244.5,1.0,0.0,0.0,0.0,2008-03-30 23:21:00,2008-03-30,23,6,3,2008,1,4.4
11/10/2008,03:05:00,0.24,0.0,240.83,1.0,0.0,0.0,1.0,2008-10-11 03:05:00,2008-10-11,3,5,10,2008,1,3.0
3/11/2007,03:18:00,0.284,0.084,243.64,1.2,0.0,0.0,0.0,2007-11-03 03:18:00,2007-11-03,3,5,11,2007,1,4.733333333333333
6/7/2010,05:36:00,0.164,0.0,241.9,0.8,0.0,0.0,0.0,2010-07-06 05:36:00,2010-07-06,5,1,7,2010,0,2.7333333333333334
12/9/2010,06:40:00,0.17,0.0,241.9,1.0,0.0,0.0,0.0,2010-09-12 06:40:00,2010-09-12,6,6,9,2010,1,2.8333333333333335
19/11/2010,06:15:00,0.282,0.0,245.79,1.2,0.0,0.0,0.0,2010-11-19 06:15:00,2010-11-19,6,4,11,2010,0,4.7
28/4/2010,02:54:00,0.38,0.086,242.81,1.8,0.0,0.0,3.0,2010-04-28 02:54:00,2010-04-28,2,2,4,2010,0,3.333333333333333
30/7/2010,19:37:00,0.158,0.0,239.73,0.6,0.0,0.0,0.0,2010-07-30 19:37:00,2010-07-30,19,4,7,2010,0,2.6333333333333333
7/5/2010,16:42:00,0.44,0.074,237.68,1.8,0.0,0.0,1.0,2010-05-07 16:42:00,2010-05-07,16,4,5,2010,0,6.333333333333333
12/7/2007,16:52:00,0.234,0.12,241.13,1.0,0.0,0.0,0.0,2007-07-12 16:52:00,2007-07-12,16,3,7,2007,0,3.9
28/6/2007,00:29:00,0.388,0.25,241.43,1.8,0.0,1.0,0.0,2007-06-28 00:29:00,2007-06-28,0,3,6,2007,0,5.466666666666667
17/4/2010,19:16:00,2.052,0.308,238.42,8.6,0.0,2.0,28.0,2010-04-17 19:16:00,2010-04-17,19,5,4,2010,1,4.200000000000003
8/8/2009,03:34:00,0.138,0.0,242.75,0.6,0.0,0.0,0.0,2009-08-08 03:34:00,2009-08-08,3,5,8,2009,1,2.3
12/8/2008,06:34:00,0.176,0.152,240.52,0.8,0.0,0.0,0.0,2008-08-12 06:34:00,2008-08-12,6,1,8,2008,0,2.933333333333333
28/5/2007,09:20:00,1.436,0.26,231.46,6.2,0.0,1.0,16.0,2007-05-28 09:20:00,2007-05-28,9,0,5,2007,0,6.933333333333334
13/10/2007,11:14:00,0.324,0.076,238.24,1.4,0.0,0.0,0.0,2007-10-13 11:14:00,2007-10-13,11,5,10,2007,1,5.4
8/4/2009,18:46:00,0.31,0.0,243.91,1.2,0.0,0.0,1.0,2009-04-08 18:46:00,2009-04-08,18,2,4,2009,0,4.166666666666667
1/9/2007,23:31:00,3.422,0.232,240.54,14.2,0.0,0.0,17.0,2007-09-01 23:31:00,2007-09-01,23,5,9,2007,1,40.03333333333333
16/5/2008,21:15:00,2.16,0.432,237.28,9.2,1.0,0.0,18.0,2008-05-16 21:15:00,2008-05-16,21,4,5,2008,0,17.0
21/8/2007,03:56:00,0.2,0.126,240.02,1.0,0.0,0.0,0.0,2007-08-21 03:56:00,2007-08-21,3,1,8,2007,0,3.3333333333333335
12/8/2009,18:37:00,0.266,0.134,241.37,1.2,0.0,1.0,0.0,2009-08-12 18:37:00,2009-08-12,18,2,8,2009,0,3.4333333333333336
31/10/2007,09:07:00,0.31,0.112,243.04,1.4,0.0,0.0,0.0,2007-10-31 09:07:00,2007-10-31,9,2,10,2007,0,5.166666666666667
1/8/2009,06:44:00,0.14,0.0,241.84,0.6,0.0,0.0,1.0,2009-08-01 06:44:00,2009-08-01,6,5,8,2009,1,1.3333333333333335
14/12/2007,01:25:00,0.314,0.086,245.04,1.4,0.0,0.0,0.0,2007-12-14 01:25:00,2007-12-14,1,4,12,2007,0,5.233333333333333
4/3/2008,13:06:00,2.14,0.19,239.41,9.0,0.0,1.0,17.0,2008-03-04 13:06:00,2008-03-04,13,1,3,2008,0,17.666666666666664
16/3/2009,17:43:00,0.298,0.066,243.14,1.2,0.0,0.0,0.0,2009-03-16 17:43:00,2009-03-16,17,0,3,2009,0,4.966666666666667
29/5/2010,14:26:00,1.618,0.184,242.77,6.6,0.0,0.0,19.0,2010-05-29 14:26:00,2010-05-29,14,5,5,2010,1,7.966666666666665
9/6/2007,08:35:00,1.474,0.206,236.77,6.2,0.0,1.0,17.0,2007-06-09 08:35:00,2007-06-09,8,5,6,2007,1,6.566666666666666
19/5/2009,00:03:00,0.352,0.112,242.82,1.4,0.0,0.0,1.0,2009-05-19 00:03:00,2009-05-19,0,1,5,2009,0,4.866666666666666
5/5/2007,09:09:00,1.488,0.084,232.81,6.4,0.0,0.0,16.0,2007-05-05 09:09:00,2007-05-05,9,5,5,2007,1,8.8
27/9/2008,18:10:00,1.538,0.122,240.8,6.4,0.0,0.0,19.0,2008-09-27 18:10:00,2008-09-27,18,5,9,2008,1,6.633333333333333
17/5/2010,00:27:00,1.57,0.216,242.83,6.4,0.0,2.0,18.0,2010-05-17 00:27:00,2010-05-17,0,0,5,2010,0,6.166666666666668
9/11/2007,07:23:00,1.658,0.118,239.11,6.8,0.0,0.0,17.0,2007-11-09 07:23:00,2007-11-09,7,4,11,2007,0,10.633333333333333
18/1/2010,11:02:00,1.494,0.0,245.98,6.0,0.0,0.0,19.0,2010-01-18 11:02:00,2010-01-18,11,0,1,2010,0,5.899999999999999
30/1/2007,19:41:00,1.792,0.168,240.68,7.4,0.0,0.0,0.0,2007-01-30 19:41:00,2007-01-30,19,1,1,2007,0,29.866666666666667
21/9/2009,02:44:00,0.286,0.118,242.94,1.2,0.0,0.0,0.0,2009-09-21 02:44:00,2009-09-21,2,0,9,2009,0,4.766666666666667
24/6/2009,21:43:00,1.788,0.326,243.23,7.6,2.0,2.0,6.0,2009-06-24 21:43:00,2009-06-24,21,2,6,2009,0,19.8
14/4/2008,12:19:00,1.498,0.094,241.56,6.2,0.0,0.0,19.0,2008-04-14 12:19:00,2008-04-14,12,0,4,2008,0,5.966666666666665
12/10/2009,17:06:00,0.218,0.0,241.42,0.8,0.0,0.0,1.0,2009-10-12 17:06:00,2009-10-12,17,0,10,2009,0,2.6333333333333333
22/10/2009,13:51:00,1.476,0.198,242.3,6.0,0.0,0.0,19.0,2009-10-22 13:51:00,2009-10-22,13,3,10,2009,0,5.600000000000001
24/4/2009,20:18:00,0.474,0.104,242.72,2.0,0.0,0.0,0.0,2009-04-24 20:18:00,2009-04-24,20,4,4,2009,0,7.9
25/8/2009,00:37:00,0.354,0.254,241.68,1.8,0.0,1.0,0.0,2009-08-25 00:37:00,2009-08-25,0,1,8,2009,0,4.9
29/7/2009,15:59:00,0.33,0.218,241.42,1.6,0.0,0.0,0.0,2009-07-29 15:59:00,2009-07-29,15,2,7,2009,0,5.5
7/3/2009,15:51:00,1.574,0.186,243.58,6.4,0.0,0.0,18.0,2009-03-07 15:51:00,2009-03-07,15,5,3,2009,1,8.233333333333334
14/4/2008,01:27:00,0.35,0.112,244.56,1.4,0.0,0.0,1.0,2008-04-14 01:27:00,2008-04-14,1,0,4,2008,0,4.833333333333333
23/1/2009,01:05:00,0.27,0.0,249.64,1.2,0.0,0.0,0.0,2009-01-23 01:05:00,2009-01-23,1,4,1,2009,0,4.5
10/9/2007,11:08:00,0.124,0.0,236.87,0.6,0.0,0.0,0.0,2007-09-10 11:08:00,2007-09-10,11,0,9,2007,0,2.066666666666667
10/1/2009,02:35:00,0.222,0.0,249.2,0.8,0.0,0.0,0.0,2009-01-10 02:35:00,2009-01-10,2,5,1,2009,1,3.7
19/9/2008,13:57:00,0.236,0.112,242.45,1.0,0.0,0.0,0.0,2008-09-19 13:57:00,2008-09-19,13,4,9,2008,0,3.933333333333333
25/1/2010,07:22:00,2.45,0.0,241.1,10.0,0.0,0.0,19.0,2010-01-25 07:22:00,2010-01-25,7,0,1,2010,0,21.833333333333336
2/1/2010,04:50:00,0.26,0.0,248.18,1.0,0.0,0.0,1.0,2010-01-02 04:50:00,2010-01-02,4,5,1,2010,1,3.333333333333333
5/6/2009,13:35:00,1.388,0.184,236.8,5.8,0.0,0.0,17.0,2009-06-05 13:35:00,2009-06-05,13,4,6,2009,0,6.133333333333333
13/3/2009,16:26:00,0.256,0.0,244.25,1.0,0.0,0.0,0.0,2009-03-13 16:26:00,2009-03-13,16,4,3,2009,0,4.266666666666667
11/11/2010,18:49:00,1.5,0.054,231.47,6.4,0.0,0.0,0.0,2010-11-11 18:49:00,2010-11-11,18,3,11,2010,0,25.0
5/4/2009,09:29:00,0.446,0.054,241.64,2.0,1.0,0.0,0.0,2009-04-05 09:29:00,2009-04-05,9,6,4,2009,1,6.433333333333334
8/3/2008,03:41:00,0.266,0.0,243.44,1.2,0.0,0.0,0.0,2008-03-08 03:41:00,2008-03-08,3,5,3,2008,1,4.433333333333334
18/11/2010,14:57:00,0.34,0.082,244.24,1.4,0.0,0.0,0.0,2010-11-18 14:57:00,2010-11-18,14,3,11,2010,0,5.666666666666667
23/9/2009,21:35:00,1.804,0.25,239.97,7.6,2.0,2.0,1.0,2009-09-23 21:35:00,2009-09-23,21,2,9,2009,0,25.066666666666666
3/11/2007,06:17:00,0.288,0.098,242.06,1.2,0.0,1.0,0.0,2007-11-03 06:17:00,2007-11-03,6,5,11,2007,1,3.8
17/12/2009,04:30:00,1.494,0.13,248.17,6.0,0.0,0.0,20.0,2009-12-17 04:30:00,2009-12-17,4,3,12,2009,0,4.899999999999999
1/12/2008,10:43:00,1.694,0.18,241.21,7.0,0.0,2.0,18.0,2008-12-01 10:43:00,2008-12-01,10,0,12,2008,0,8.233333333333334
28/6/2008,09:18:00,2.764,0.088,234.96,11.8,0.0,37.0,1.0,2008-06-28 09:18:00,2008-06-28,9,5,6,2008,1,8.06666666666667
12/1/2009,10:40:00,1.44,0.166,243.93,5.8,0.0,1.0,18.0,2009-01-12 10:40:00,2009-01-12,10,0,1,2009,0,5.0
3/2/2009,22:56:00,1.644,0.154,246.39,6.6,0.0,0.0,0.0,2009-02-03 22:56:00,2009-02-03,22,1,2,2009,0,27.4
5/11/2010,12:55:00,1.496,0.1,242.56,6.2,0.0,0.0,19.0,2010-11-05 12:55:00,2010-11-05,12,4,11,2010,0,5.933333333333334
23/11/2008,06:58:00,0.34,0.0,241.01,1.4,0.0,0.0,0.0,2008-11-23 06:58:00,2008-11-23,6,6,11,2008,1,5.666666666666667
19/4/2007,01:11:00,0.596,0.126,238.65,2.6,0.0,0.0,0.0,2007-04-19 01:11:00,2007-04-19,1,3,4,2007,0,9.933333333333334
29/7/2010,22:08:00,0.344,0.236,240.99,1.6,0.0,1.0,1.0,2010-07-29 22:08:00,2010-07-29,22,3,7,2010,0,3.7333333333333334
19/7/2010,10:15:00,0.262,0.126,241.21,1.2,0.0,0.0,0.0,2010-07-19 10:15:00,2010-07-19,10,0,7,2010,0,4.366666666666666
8/3/2008,20:48:00,3.868,0.32,236.69,16.4,38.0,0.0,0.0,2008-03-08 20:48:00,2008-03-08,20,5,3,2008,1,26.46666666666667
9/1/2009,16:20:00,0.588,0.12,246.95,2.8,0.0,1.0,0.0,2009-01-09 16:20:00,2009-01-09,16,4,1,2009,0,8.8
11/8/2007,22:20:00,0.27,0.218,236.39,1.4,0.0,0.0,0.0,2007-08-11 22:20:00,2007-08-11,22,5,8,2007,1,4.5
4/6/2008,19:21:00,0.534,0.0,234.55,3.0,0.0,0.0,6.0,2008-06-04 19:21:00,2008-06-04,19,2,6,2008,0,2.9000000000000004
21/8/2008,06:45:00,0.08,0.0,240.69,0.2,0.0,0.0,1.0,2008-08-21 06:45:00,2008-08-21,6,3,8,2008,0,0.33333333333333326
29/6/2009,08:37:00,0.896,0.114,240.5,4.2,2.0,1.0,10.0,2009-06-29 08:37:00,2009-06-29,8,0,6,2009,0,1.9333333333333336
6/9/2010,01:40:00,0.276,0.09,243.46,1.2,0.0,0.0,0.0,2010-09-06 01:40:00,2010-09-06,1,0,9,2010,0,4.6
7/10/2008,10:39:00,1.43,0.05,235.04,6.0,0.0,0.0,18.0,2008-10-07 10:39:00,2008-10-07,10,1,10,2008,0,5.833333333333332
28/7/2008,23:50:00,0.454,0.142,244.79,2.2,0.0,0.0,0.0,2008-07-28 23:50:00,2008-07-28,23,0,7,2008,0,7.566666666666666
10/11/2010,14:04:00,3.522,0.066,235.68,14.8,0.0,35.0,18.0,2010-11-10 14:04:00,2010-11-10,14,2,11,2010,0,5.700000000000003
1/7/2007,03:50:00,0.322,0.104,240.26,1.4,0.0,0.0,0.0,2007-07-01 03:50:00,2007-07-01,3,6,7,2007,1,5.366666666666666
20/8/2007,18:14:00,0.21,0.146,241.92,1.0,0.0,0.0,0.0,2007-08-20 18:14:00,2007-08-20,18,0,8,2007,0,3.5
15/9/2010,06:13:00,0.254,0.07,242.54,1.0,0.0,0.0,1.0,2010-09-15 06:13:00,2010-09-15,6,2,9,2010,0,3.2333333333333334
19/2/2008,06:11:00,0.338,0.088,241.91,1.4,0.0,0.0,0.0,2008-02-19 06:11:00,2008-02-19,6,1,2,2008,0,5.633333333333334
26/6/2009,01:10:00,0.138,0.0,243.11,0.6,0.0,0.0,0.0,2009-06-26 01:10:00,2009-06-26,1,4,6,2009,0,2.3
18/10/2008,10:57:00,1.59,0.05,239.92,6.6,0.0,0.0,18.0,2008-10-18 10:57:00,2008-10-18,10,5,10,2008,1,8.5
9/1/2007,16:53:00,1.738,0.096,238.94,7.2,0.0,0.0,17.0,2007-01-09 16:53:00,2007-01-09,16,1,1,2007,0,11.966666666666665
9/11/2009,20:11:00,1.798,0.124,243.09,7.4,2.0,0.0,1.0,2009-11-09 20:11:00,2009-11-09,20,0,11,2009,0,26.966666666666665
26/8/2007,06:41:00,0.114,0.0,242.55,0.4,0.0,0.0,0.0,2007-08-26 06:41:00,2007-08-26,6,6,8,2007,1,1.9
8/7/2007,23:38:00,2.174,0.23,240.44,9.0,0.0,0.0,16.0,2007-07-08 23:38:00,2007-07-08,23,6,7,2007,1,20.233333333333334
12/11/2008,16:17:00,0.544,0.132,241.94,2.2,0.0,1.0,0.0,2008-11-12 16:17:00,2008-11-12,16,2,11,2008,0,8.066666666666666
17/3/2008,00:38:00,1.306,0.056,242.43,5.4,0.0,0.0,18.0,2008-03-17 00:38:00,2008-03-17,0,0,3,2008,0,3.7666666666666657
14/1/2009,10:32:00,1.67,0.0,242.47,6.8,0.0,0.0,18.0,2009-01-14 10:32:00,2009-01-14,10,2,1,2009,0,9.833333333333332
17/10/2009,04:42:00,0.386,0.198,241.22,1.8,0.0,1.0,1.0,2009-10-17 04:42:00,2009-10-17,4,5,10,2009,1,4.433333333333334
8/5/2009,01:43:00,0.532,0.0,241.03,2.6,0.0,0.0,6.0,2009-05-08 01:43:00,2009-05-08,1,4,5,2009,0,2.866666666666667
3/6/2009,23:21:00,0.566,0.0,241.88,2.2,0.0,0.0,1.0,2009-06-03 23:21:00,2009-06-03,23,2,6,2009,0,8.433333333333334
